评论ID,评论内容,评分,商品名称
R001,快递正常速度，包装严实。蓝牙耳机本身分区合理，镜片清晰。满意！,4,蓝牙耳机
R002,退钱,5,电动牙刷
R003,第二次买了，刷毛很软。上次买的用了一年还很好，这次囤货。,4,抱枕
R004,什么玩意儿...味道很好闻，白花钱,5,保温杯
R005,👍,4,台灯
R006,什么玩意儿...佩戴舒适，白花钱,5,手机壳
R007,非常满意，物流很快，服务态度很好，好评！,5,背包
R008,收到了，功能齐全。哦对还有泡沫丰富。就这样。,5,瑜伽垫
R009,无功无过，不易脱妆，同价位有更好的选择,5,键盘
R010,就...还行？佩戴舒适，不知道说什么好,4,鼠标
R011,这款蓝牙耳机真的超出预期！承重能力强，镜片清晰。已经推荐给闺蜜了，会回购！笑死,5,蓝牙耳机
R012,可以,2,键盘
R013,终于收到心心念念的鼠标了！功能齐全，背带舒适。之前对比了好几家，最后选了这家，果然没失望。功能齐全，性价比超高。包装有点简陋，送人自用都合适。已经安利给同事了，下次还会来！,5,鼠标
R014,气死我了面料很舒服哈哈哈,5,鼠标
R015,别买！味道很好闻，客服还已读不回。,2,台灯
R016,东西收到了，质量很好，卖家态度很好，给五星好评！emm,5,连衣裙
R017,无语，没有异味,4,墨镜
R018,虽然手感很好，但是按钮灵敏，整体来说还是推荐的,5,瑜伽垫
R019,收到了，没有色差。哦对还有泡沫丰富。就这样。,1,口红
R020,好,5,充电宝
R021,👎,4,洗发露
R022,不错,4,面膜
R023,垃圾,2,蓝牙耳机
R024,"同事生日送的,同事说挺好.包装精美,适合送礼.",5,背包
R025,收到了，味道很好闻。哦对还有细节处理到位。就这样。,5,键盘
R026,抱枕质量堪忧，外观高级。再也不买这家了。,5,抱枕
R027,"不错,没有异味",5,电动牙刷
R028,洗发露确实穿着显白，不过快递有点慢有点烦人,5,洗发露
R029,爸爸生日送的，爸爸夸我有眼光。包装有点简陋，适合送礼。,3,连衣裙
R030,第二次买了，质地轻薄。上次买的用了三个月还很好，这次囤货。,5,墨镜
R031,快递隔天到，包装有点简陋。电动牙刷本身防水效果好，震感适中。满意！,5,电动牙刷
R032,牛仔裤质量配不上价格，佩戴舒适。再也不买这家了。,3,牛仔裤
R033,零食大礼包的功能真的绝了，没有异味。虽然有点线头，但不影响使用。,5,零食大礼包
R034,差,1,背包
R035,第二次买了，不易脱妆。上次买的用了一年还很好，这次囤货。,5,运动鞋
R036,种草成功！音质清晰,5,口红
R037,T恤质量堪忧，面料很舒服。再也不买这家了。,5,T恤
R038,商品不错，物流给力，客服热情，推荐购买！,5,台灯
R039,买给闺蜜的，闺蜜说嫌大了。外观高级，这个价格很值。,4,口红
R040,"买了两个,第一个分区合理,第二个背带舒适.品控看运气.",5,抱枕
R041,买给女朋友的，女朋友说说颜色太艳。刷毛很软，这个价格很值。,4,鼠标
R042,"可以可以,穿着显白",5,抱枕
R043,这个电动牙刷呃...怎么说呢，佩戴舒适吧反正,3,电动牙刷
R044,很差劲，味道很好闻，连接稳定。已经申请退货了。,1,洗发露
R045,"女朋友生日送的,女朋友说颜色太艳.包装完好无损,适合送礼.",5,零食大礼包
R046,一般无语了,4,电动牙刷
R047,可以可以，佩戴舒适,4,充电宝
R048,好用,5,连衣裙
R049,垃圾！！！差评到底哎,1,洗发露
R050,"还行吧,外观高级,反正对得起这个价格",3,零食大礼包
