一级标签,二级标签,三级标签
商品质量,整体质量,质量好
商品质量,整体质量,质量差
商品质量,面料材质,舒适
商品质量,面料材质,不透气
商品质量,面料材质,起球
商品质量,做工细节,精细
商品质量,做工细节,粗糙
商品质量,做工细节,有线头
商品质量,版型尺寸,合身
商品质量,版型尺寸,偏大
商品质量,版型尺寸,偏小
物流服务,配送速度,速度快
物流服务,配送速度,速度慢
物流服务,包装完好,包装精美
物流服务,包装完好,包装破损
物流服务,快递员服务,态度好
物流服务,快递员服务,态度差
价格感知,价格水平,便宜
价格感知,价格水平,贵
价格感知,性价比,性价比高
价格感知,性价比,性价比低
用户行为,复购意向,会回购
用户行为,复购意向,不会回购
用户行为,推荐意愿,推荐
用户行为,推荐意愿,不推荐
整体评价,满意度,满意
整体评价,满意度,一般
整体评价,满意度,不满意
整体评价,惊喜度,超预期
整体评价,惊喜度,符合预期
整体评价,失望度,与描述不符
整体评价,失望度,失望
客服售后,客服态度,耐心
客服售后,客服态度,敷衍
客服售后,售后处理,处理快
客服售后,售后处理,处理慢
客服售后,售后处理,推诿
